station,easting,northing
AME18_213 b,119.96279,-21.361219
AME18_211,119.961657,-21.360434
AME18_212 geochemistry,119.961718,-21.360316
AME18_240 geochemistry,119.960355,-21.359887
AME18_242 a b,119.961519,-21.359083
AME18_241,119.960174,-21.357894
AME18_244,119.941047,-21.357488
AME18_224,119.939977,-21.357014
AME18_109 a b,119.980578,-21.356929
AME18_243,119.943335,-21.356376
AME18_219,119.939409,-21.356256
AME18_218,119.939824,-21.356077
AME18_223,119.93823,-21.355928
AME18_004,119.939775,-21.355917
AME18_245,119.93892,-21.355837
AME18_217,119.939344,-21.355808
AME18_221,119.939802,-21.355799
AME18_220,119.940116,-21.355766
AME18_216,119.938933,-21.355659
AME18_005,119.939055,-21.355483
AME18_222,119.937954,-21.355378
AME18_006,119.938617,-21.354214
AME18_057 geochemistry,119.944122,-21.353546
AME18_057a,119.944122,-21.353546
AME18_057b,119.944122,-21.353546
AME18_202,119.953199,-21.35296
AME18_056,119.944952,-21.352747
AME18_056 geochemistry,119.944952,-21.352747
AME18_055,119.94439,-21.352169
AME18_054,119.943923,-21.351609
AME18_054 geochemistry,119.943923,-21.351609
AME18_198 a,119.944957,-21.350845
AME18_198 b,119.944957,-21.350845
AME18_058a,119.945076,-21.350842
AME18_058b geochemistry,119.945076,-21.350842
AME18_210,119.945526,-21.350672
AME18_110 a b,119.976978,-21.35002
AME18_204,119.944591,-21.34944
AME18_200,119.94636,-21.349413
AME18_201,119.947031,-21.349216
AME18_011,119.944641,-21.34902
AME18_059,119.946156,-21.348654
AME18_059 geochemistry,119.946156,-21.348654
AME18_060 a,119.945929,-21.348536
AME18_060 b,119.945929,-21.348536
AME18_060 c,119.945929,-21.348536
AME18_060c geochemistry,119.945929,-21.348536
AME18_012,119.924229,-21.348172
AME18_205a b,119.943294,-21.348068
AME18_003 A,119.94347,-21.347542
AME18_003 b,119.94347,-21.347542
AME18_001,119.944053,-21.347354
AME18_002,119.943789,-21.347224
AME18_013,119.927533,-21.346327
AME18_014,119.927533,-21.346327
AME18_209,119.937386,-21.344005
AME18_206,119.937183,-21.343243
AME18_065a,119.913442,-21.343221
AME18_065b,119.913442,-21.343221
AME18_065c Geochemistry,119.913442,-21.343221
AME18_064,119.913463,-21.343205
AME18_091,119.841805,-21.342341
AME18_208,119.93538,-21.342257
AME18_207,119.937017,-21.34183
AME18_111 a b,119.971588,-21.341067
AME18_063,119.913981,-21.340947
AME18_063 geochemistry,119.913981,-21.340947
AME18_062 Geochemistry,119.918011,-21.338755
AME18_062a,119.918011,-21.338755
AME18_062b,119.918011,-21.338755
AME18_061a,119.917826,-21.338717
AME18_061b,119.917826,-21.338717
AME18_007,119.936657,-21.338328
AME18_093,119.839542,-21.334434
AME18_092,119.839527,-21.334431
AME18_092 geochemistry,119.839527,-21.334431
AME18_092b,119.839527,-21.334431
AME18_066,119.917066,-21.333335
AME18_066 geochemistry,119.917066,-21.333335
AME18_069,119.919515,-21.332832
AME18_067,119.918195,-21.331787
AME18_068a,119.920527,-21.33141
AME18_068b,119.920527,-21.33141
AME18_036,119.894338,-21.331083
AME18_035,119.894834,-21.330237
AME18_094,119.84139,-21.329582
AME18_074a,119.887218,-21.32939
AME18_074b,119.887218,-21.32939
AME18_074c,119.887218,-21.32939
AME18_075 a b,119.888558,-21.328243
AME18_138A,120.173576,-21.327168
AME18_138b,120.173576,-21.327168
AME18_138c,120.173576,-21.327168
AME18_105 geochemistry,119.909511,-21.326838
AME18_105a,119.909511,-21.326838
AME18_105b,119.909511,-21.326838
AME18_078,119.902234,-21.326597
AME18_139 a b,120.173647,-21.326374
AME18_015,119.925586,-21.325785
AME18_095,119.841333,-21.325315
AME18_112 a b,119.965422,-21.324784
AME18_097 geochemistry,119.839753,-21.324086
AME18_037,119.888864,-21.323984
AME18_295 a b,120.230928,-21.323966
AME18_096,119.839403,-21.323693
AME18_076a,119.904175,-21.322569
AME18_076b,119.904175,-21.322569
AME18_070,119.891193,-21.321286
AME18_117 a b,120.005932,-21.319983
AME18_077a,119.905521,-21.319894
AME18_077b,119.905521,-21.319894
AME18_116 a b,120.014133,-21.319744
AME18_280,119.83032,-21.319422
AME18_104 a,119.914025,-21.318785
AME18_104 b,119.914025,-21.318785
AME18_104 geochemistry,119.914025,-21.318785
AME18_118 a b,119.999353,-21.318638
