Name,Field,Freq.,Km,L,F,P,Pj,T,U,K1dec,K1inc,K2dec,K2inc,K3dec,K3inc,K11,K22,K33,K12,K23,K13
AME18_104AD1,423,F1,142.7267,1.029,1.132,1.165,1.177,0.626,0.602,251.4,58.7,128.8,18.2,30.2,24.6,0.95657,1.01231,1.03112,-0.04081,-0.03552,-0.04367
AME18_104AD2,423,F1,149.3303,1.058,1.149,1.215,1.222,0.42,0.379,248.2,60.9,125.5,16.7,28.1,23.1,0.93902,1.01149,1.04949,-0.04179,-0.04605,-0.05155
AME18_104AD4,423,F1,642.6207,1.157,1.177,1.362,1.362,0.054,-0.024,273.4,52.1,107.3,37,12.1,6.8,0.8566,1.05001,1.09339,-0.03382,-0.07963,-0.01263
AME18_111A_A,423,F1,1451.314,1.058,1.15,1.217,1.224,0.424,0.383,208.9,59,113.7,3.1,21.9,30.8,0.95196,1.01464,1.03339,-0.02738,-0.03459,-0.07751
AME18_111A_B,423,F1,1422.763,1.028,1.097,1.127,1.134,0.544,0.522,219.3,61.4,119.5,5.3,26.7,28,0.9684,1.00908,1.02252,-0.02501,-0.02436,-0.04266
AME18_111A_C,423,F1,1262.978,1.048,1.118,1.172,1.177,0.405,0.371,205.6,59.8,113.2,1.4,22.4,30.2,0.96087,1.01005,1.02908,-0.02351,-0.02717,-0.06266
AME18_111A_C,423,F1,1207.981,1.04,1.118,1.162,1.169,0.481,0.452,227.5,60.2,121.6,8.9,26.7,28.2,0.96029,1.01087,1.02884,-0.02857,-0.03309,-0.05186
AME18_111A_D,423,F1,1343.245,1.048,1.141,1.196,1.204,0.475,0.44,214.7,55.6,116.6,5.5,22.8,33.8,0.96209,1.01776,1.02015,-0.02397,-0.03586,-0.07301
AME18_111A_E,423,F1,1079.899,1.036,1.118,1.158,1.166,0.522,0.495,217.1,53.9,113,10,16.1,34.3,0.96376,1.02281,1.01342,-0.0136,-0.02447,-0.06229
AME18_111AA2,423,F1,1937.226,1.07,1.142,1.222,1.226,0.322,0.277,214.4,59.2,118.1,3.8,25.9,30.5,0.95509,1.00641,1.0385,-0.02807,-0.04184,-0.07561
AME18_111AB1,423,F1,1099.726,1.029,1.112,1.145,1.153,0.577,0.554,223.4,64.1,120.4,6.2,27.5,25,0.96066,1.0092,1.03014,-0.03194,-0.02631,-0.04369
AME18_111AB2,423,F1,1160.88,1.03,1.108,1.141,1.148,0.553,0.53,211.1,63.6,118.7,1.2,28.1,26.3,0.96527,1.00682,1.02792,-0.03053,-0.02488,-0.04522
AME18_111AB4,423,F1,1422.328,1.036,1.117,1.157,1.164,0.519,0.492,209.5,62.8,116.7,1.4,26,27.1,0.96071,1.0091,1.03018,-0.0302,-0.02637,-0.05204
AME18_111AC2,423,F1,1240.651,1.053,1.119,1.178,1.182,0.368,0.332,242.3,56.4,122.4,18.3,22.7,27.1,0.94876,1.01822,1.03302,-0.02358,-0.03896,-0.05197
AME18_111AD1,423,F1,1412.816,1.025,1.167,1.196,1.214,0.727,0.705,233.4,51.6,121,16.8,19.6,33.4,0.95225,1.03586,1.01189,-0.02806,-0.033,-0.07203
AME18_111AD3,423,F1,1542.152,1.055,1.151,1.214,1.221,0.45,0.411,214.1,55.4,118.7,3.8,26.1,34.3,0.96455,1.01408,1.02136,-0.02775,-0.04223,-0.07792
AME18_111AE2,423,F1,1268.661,1.031,1.15,1.185,1.199,0.644,0.619,231.2,57.5,117.9,14.1,20,28.6,0.94614,1.02776,1.0261,-0.02893,-0.03057,-0.06224
AME18_114A_B,423,F1,18087.57,1.021,1.369,1.398,1.456,0.875,0.855,338.5,12.3,71.7,14.5,209.7,70.8,1.08531,1.08552,0.82917,-0.02123,0.04351,0.08397
AME18_114A_D,423,F1,30111.69,1.031,1.172,1.208,1.225,0.681,0.655,6.8,42.2,106.1,10.1,206.8,46,0.99883,1.02559,0.97558,-0.02763,0.03632,0.08398
AME18_114A_D,423,F1,40849.59,1.083,1.113,1.206,1.206,0.148,0.102,8.4,50.1,105,5.4,199.5,39.4,0.98555,1.00027,1.01417,-0.01424,0.02278,0.08796
AME18_114AA1,423,F1,5869.782,1.104,1.029,1.136,1.143,-0.546,-0.568,0.1,49.5,112.7,18.2,215.9,34.7,1.00589,0.96913,1.02497,-0.00884,0.00774,0.06049
AME18_114AA2,423,F1,7784.671,1.112,1.019,1.134,1.145,-0.696,-0.712,5.7,40.2,266.9,10.3,165.3,48,1.02513,0.9699,1.00498,0.00827,0.00299,0.06227
AME18_114AA3,423,F1,7265.491,1.047,1.055,1.105,1.105,0.084,0.059,4.8,56,120.4,16.3,219.7,28.9,0.99265,0.98562,1.02174,-0.01858,0.01602,0.03871
AME18_114AB1,423,F1,11793.28,1.073,1.026,1.101,1.104,-0.462,-0.48,353,50.6,117.6,25,222.1,28.2,1.00215,0.97621,1.02165,-0.01314,0.00276,0.04253
AME18_114AC1,423,F1,25926.95,1.078,1.046,1.128,1.13,-0.247,-0.275,15,48.1,283.3,1.5,192,41.9,0.99776,0.99016,1.01208,0.00368,0.01444,0.05843
AME18_114AD1,423,F1,13058.61,1.02,1.075,1.096,1.101,0.574,0.558,313.1,21,57.7,33.2,196.7,49.1,0.99726,1.02368,0.97905,-0.01704,0.00515,0.03808
AME18_116AA1,423,F1,9319.279,1.073,1.212,1.301,1.313,0.461,0.408,333.7,43.4,89.9,25,199.9,36.2,0.96313,1.0292,1.00767,-0.05367,0.01255,0.11512
AME18_116AA2,423,F1,4471.191,1.011,1.254,1.268,1.307,0.909,0.898,9.4,56.2,105.7,4.2,198.5,33.5,0.93623,1.05327,1.0105,-0.04468,0.0324,0.09972
AME18_116AA3,423,F1,3332.324,1.038,1.118,1.161,1.168,0.495,0.467,350.7,49.1,105.8,20.2,210.1,33.8,0.98344,1.00466,1.0119,-0.03502,0.0219,0.06244
AME18_116AB1,423,F1,4935.239,1.146,1.163,1.334,1.334,0.051,-0.021,54.6,52.4,283.2,27,180.1,24.1,0.89937,1.03419,1.06644,0.02548,0.05765,0.09306
AME18_116AB2,423,F1,4566.953,1.012,1.11,1.124,1.137,0.788,0.777,302.5,19.3,57.3,50.2,199.2,33.3,0.96933,1.03025,1.00041,-0.02741,0.01207,0.04651
AME18_116AC1,423,F1,3667.095,1.038,1.107,1.149,1.155,0.467,0.44,345.6,49.4,97.5,17.7,200.5,35.2,0.97751,1.013,1.00949,-0.02558,0.01157,0.06194
AME18_116AC2,423,F1,3413.888,1.051,1.109,1.165,1.169,0.348,0.314,351.8,50.6,96,11.4,194.8,37.1,0.97715,1.01217,1.01068,-0.01864,0.0086,0.07157
AME18_116AD1,423,F1,4700.174,1.063,1.259,1.338,1.359,0.583,0.534,300.4,18.6,59.5,55.4,200.1,28.1,0.91686,1.0742,1.00894,-0.08001,0.01369,0.09427
AME18_116AD2,423,F1,3345.612,1.029,1.098,1.13,1.136,0.535,0.513,3.2,56.5,105.2,7.8,200.2,32.4,0.97222,1.01293,1.01485,-0.02058,0.01501,0.05228
AME18_117AA1,423,F1,2387.498,1.023,1.09,1.115,1.122,0.587,0.569,326.7,50.1,89.8,24.6,194.6,29.3,0.96695,1.0192,1.01385,-0.0201,0.00282,0.04443
AME18_117AA2,423,F1,2686.481,1.028,1.089,1.119,1.125,0.51,0.489,333.9,56.5,97.9,20.3,198,25.4,0.96387,1.01343,1.0227,-0.02331,0.00418,0.04242
AME18_117AA3,423,F1,2159.816,1.02,1.093,1.115,1.123,0.629,0.613,311.5,47.1,86,33.1,192.9,24,0.95748,1.02375,1.01877,-0.02055,-0.00058,0.03826
AME18_117AB1,423,F1,2131.369,1.022,1.078,1.101,1.107,0.549,0.532,283.1,66.1,89.3,23.3,181.5,5.1,0.94447,1.02042,1.03511,-0.00273,-0.00792,0.00836
AME18_117AB2,423,F1,2205.959,1.024,1.08,1.106,1.111,0.53,0.512,296.1,67.7,85.8,19.5,179.5,10.4,0.94461,1.01989,1.0355,-0.0008,-0.0078,0.01719
AME18_117AB3,423,F1,2525.315,1.022,1.079,1.104,1.109,0.553,0.536,12.5,83.2,268.4,1.7,178.3,6.6,0.94386,1.01737,1.03877,0.00231,0.00032,0.01112
AME18_117AC1,423,F1,2010.909,1.023,1.082,1.107,1.113,0.549,0.531,319.5,47.2,92.6,32.3,199.6,24.8,0.9677,1.01526,1.01704,-0.02549,0.00218,0.03658
AME18_117AC2,423,F1,2073.283,1.019,1.1,1.121,1.13,0.67,0.654,312.9,42.8,87.3,37.1,197.7,24.8,0.95974,1.02306,1.01719,-0.02745,0.00364,0.04032
AME18_117AC3,423,F1,1921.711,1.017,1.08,1.098,1.105,0.646,0.632,342.9,63.5,97.3,11.6,192.4,23.4,0.96186,1.01689,1.02125,-0.01438,0.00396,0.0335
AME18_118AA1,423,F1,3263.323,1.016,1.125,1.143,1.157,0.769,0.755,337.1,33.9,80.3,18.8,194.2,49.9,0.99745,1.03179,0.97075,-0.01534,0.01103,0.06179
AME18_118AA2,423,F1,3243.902,1.036,1.12,1.16,1.168,0.523,0.495,347,38,89.5,15.5,197.3,47.8,1.00096,1.02098,0.97806,-0.01908,0.0122,0.06956
AME18_118AA3,423,F1,3370.407,1.014,1.114,1.13,1.143,0.767,0.755,320.3,25.5,67,31,198.6,47.8,0.99461,1.03035,0.97505,-0.02029,0.01308,0.05421
AME18_118AB1,423,F1,3535.813,1.014,1.105,1.12,1.132,0.758,0.745,13.2,47.5,105.3,1.9,197,42.5,0.9854,1.02356,0.99104,-0.01339,0.01581,0.05334
AME18_118AB2,423,F1,3287.201,1.026,1.116,1.145,1.154,0.623,0.602,26.1,40.9,293.1,3.5,199.1,48.9,0.99771,1.0247,0.97759,-0.00824,0.023,0.06167
AME18_118AB3,423,F1,3095.973,1.014,1.11,1.126,1.138,0.768,0.756,331.4,33.7,80.2,25.7,199.2,45.2,0.99164,1.02611,0.98225,-0.01988,0.01365,0.05405
AME18_118AC1,423,F1,4169.479,1.016,1.108,1.126,1.137,0.727,0.712,345.7,40.7,90.6,16.6,197.7,44.6,0.99083,1.02368,0.98548,-0.01696,0.01313,0.05575
AME18_118AC2,423,F1,3809.515,1.022,1.128,1.152,1.165,0.698,0.68,332.5,40.1,80.6,20.2,190.7,43,0.98153,1.03216,0.98631,-0.0167,0.00573,0.06701
AME18_118AC3,423,F1,4320.058,1.023,1.124,1.15,1.162,0.677,0.658,354,41.7,98.8,16,204.8,44,0.99449,1.01989,0.98562,-0.02386,0.02267,0.06328
AME18_118AD1,423,F1,3273.259,1.014,1.105,1.12,1.132,0.754,0.742,23.7,45,120.9,7.2,218,44.1,1.00244,1.0098,0.98776,-0.02175,0.03287,0.04503
AME18_118AD2,423,F1,3589.269,1.015,1.115,1.132,1.145,0.761,0.748,22.2,46.9,121,8.1,218.4,41.9,1.00036,1.00864,0.991,-0.02614,0.03575,0.04851
AME18_120AA1,423,F1,2113.598,1.092,1.131,1.234,1.235,0.166,0.115,40.1,57.4,283.7,15.9,185.1,27.6,0.93298,1.0184,1.04862,0.00515,0.03128,0.07967
AME18_120BA2,423,F1,2176.525,1.087,1.093,1.188,1.188,0.028,-0.015,47.5,62.8,290.5,13.1,194.7,23.4,0.94064,1.00444,1.05491,-0.00846,0.03407,0.05383
AME18_120BA3,423,F1,4082.939,1.097,1.233,1.353,1.363,0.39,0.324,62.9,49.3,309.6,18.8,206.1,34.6,0.93387,1.03986,1.02627,-0.03512,0.08397,0.10441
AME18_120BB1,423,F1,2373.686,1.076,1.169,1.258,1.264,0.363,0.313,59.5,56,298.4,19.2,198.2,26.9,0.92336,1.03004,1.0466,-0.02442,0.04968,0.07505
AME18_120BB2,423,F1,8811.797,1.216,1.423,1.73,1.743,0.287,0.158,62.2,53.3,312.1,14.4,212.5,32.9,0.89203,1.02769,1.08027,-0.06491,0.16912,0.16706
AME18_120BC1,423,F1,6090.791,1.121,1.315,1.474,1.49,0.412,0.33,81.5,33.4,330.1,29,209.1,42.8,0.94077,1.09521,0.96401,-0.04432,0.11771,0.11719
AME18_120BC2,423,F1,2067.498,1.103,1.111,1.225,1.225,0.037,-0.014,20.4,59,281.2,5.5,188,30.4,0.95016,1.00093,1.04891,-0.00135,0.02191,0.08566
AME18_120BD1,423,F1,4081.994,1.176,1.278,1.503,1.507,0.205,0.106,32.4,52.8,295.1,5.5,201,36.7,0.93701,1.01458,1.04842,-0.01804,0.08393,0.17117
AME18_120BD2,423,F1,2102.591,1.104,1.103,1.218,1.218,-0.003,-0.053,41.6,52.1,296.4,11.5,198.1,35.5,0.96254,1.00789,1.02957,0.00123,0.04707,0.07951
AME18_127B_C,423,F1,102.5595,1.034,1.055,1.091,1.091,0.225,0.205,0.9,50.2,120,22.1,224.2,31.2,1.00044,0.98736,1.0122,-0.01883,0.01636,0.03345
AME18_127B_C,423,F1,111.5565,1.031,1.058,1.09,1.092,0.303,0.283,7.2,51.6,122.2,18.6,224.5,32.2,0.99972,0.98891,1.01137,-0.0183,0.01935,0.03274
AME18_127BA1,423,F1,112.1606,1.033,1.06,1.095,1.096,0.28,0.259,2.3,42.8,115.2,22.8,224.7,38.6,1.0082,0.99062,1.00117,-0.01667,0.02016,0.03638
AME18_127BA2,423,F1,110.5929,1.03,1.06,1.092,1.094,0.33,0.31,6.2,46.5,122.4,22.7,229.2,34.7,1.00667,0.98699,1.00634,-0.01761,0.02197,0.0325
AME18_127BA3,423,F1,118.7994,1.029,1.063,1.093,1.095,0.368,0.348,4.5,49,127.7,25.4,233.4,29.7,1.00662,0.98127,1.01211,-0.02062,0.02179,0.02959
AME18_127BB1,423,F1,107.7745,1.032,1.06,1.094,1.096,0.304,0.283,2.2,47.6,116.3,20.5,221.6,35.2,1.00162,0.99159,1.00679,-0.01845,0.01858,0.03619
AME18_127BB2,423,F1,112.256,1.032,1.057,1.091,1.092,0.27,0.25,6.1,53,122.4,18.4,223.8,30.8,0.99803,0.98817,1.0138,-0.01871,0.01813,0.03265
AME18_127BB3,423,F1,104.9983,1.035,1.056,1.092,1.093,0.23,0.209,4.3,51.6,121.4,19.8,224.1,31.3,0.99942,0.98743,1.01316,-0.0184,0.01769,0.03386
AME18_127BC1,423,F1,115.9656,1.039,1.053,1.094,1.095,0.157,0.135,351.3,44.8,115,29.2,224.7,31,1.00425,0.986,1.00975,-0.02162,0.01288,0.03516
AME18_127BD1,423,F1,106.0679,1.037,1.062,1.101,1.102,0.247,0.224,16.3,61.9,138.6,15.9,235.4,22.5,0.99858,0.97385,1.02757,-0.02125,0.02148,0.02669
AME18_127BD2,423,F1,118.8495,1.034,1.053,1.089,1.09,0.208,0.188,12.1,52.1,136.3,23.7,239.6,27.7,1.00769,0.97641,1.01589,-0.01463,0.02149,0.02695
AME18_127BD3,423,F1,111.4096,1.033,1.058,1.093,1.095,0.274,0.253,11.1,50,127.8,20.6,231.7,32.5,1.00547,0.98365,1.01088,-0.01665,0.02294,0.03167
AME18_128A_A,423,F1,2082.612,1.262,1.032,1.303,1.335,-0.76,-0.787,324.7,57.3,57.1,1.5,148.1,32.7,0.96113,0.94654,1.09233,-0.02427,-0.07082,0.10144
AME18_128A_B,423,F1,1677.917,1.295,1.017,1.317,1.362,-0.878,-0.893,321,57.6,66.2,9.5,161.9,30.7,0.95166,0.94478,1.10355,-0.03466,-0.0791,0.10135
AME18_128A_B,423,F1,1197.935,1.268,1.046,1.326,1.355,-0.684,-0.721,322.3,56.1,222,6.8,127.6,33,0.96822,0.94143,1.09034,-0.02375,-0.08536,0.10266
AME18_128A_C,423,F1,4234.588,1.26,1.047,1.318,1.345,-0.67,-0.707,327.2,53.3,58.4,0.9,149.1,36.7,0.97464,0.95158,1.07379,-0.02771,-0.07319,0.11468
AME18_128A_C,423,F1,6955.702,1.196,1.017,1.216,1.243,-0.831,-0.846,333.3,57.1,82.1,11.8,179.1,30.2,0.97554,0.95446,1.07,-0.02178,-0.03807,0.08226
AME18_128A_C,423,F1,5967.63,1.215,1.032,1.254,1.278,-0.72,-0.746,333.7,54.4,82.9,13.3,181.5,32.4,0.9766,0.95578,1.06762,-0.02787,-0.04212,0.09926
AME18_128AA1,423,F1,3053.98,1.192,1.051,1.253,1.267,-0.56,-0.598,331.9,58.2,76.6,8.9,171.9,30.2,0.96006,0.96482,1.07511,-0.01628,-0.04148,0.09232
AME18_128AA3,423,F1,1423.656,1.293,1.004,1.298,1.349,-0.971,-0.975,324.8,56.1,202.1,20,101.7,26.2,0.96763,0.93705,1.09532,-0.03871,-0.07262,0.10152
AME18_128AB1,423,F1,1346.06,1.281,1.065,1.365,1.389,-0.594,-0.642,327.2,56.3,92.1,20.9,192.5,25.2,0.9442,0.95329,1.10251,-0.04665,-0.06082,0.12302
AME18_128AB2,423,F1,1729.697,1.283,1.04,1.334,1.367,-0.726,-0.759,326,61.3,61.8,3.2,153.5,28.5,0.94398,0.93815,1.11787,-0.01688,-0.06829,0.10464
AME18_128AD1,423,F1,7228.605,1.327,1.058,1.405,1.439,-0.666,-0.712,339.5,55,79.1,6.7,173.7,34.2,0.96945,0.92849,1.10206,-0.02863,-0.05196,0.15549
